erp,question_id,selected_option
29208,E2,option c
29208,B2,option c
29208,C1,option c
29208,B3,option b
29208,F1,option b
29208,E2,option c
29208,B2,option c
29208,C1,option c
29208,B3,option b
29208,F1,option b
29278,D1,option b
29278,E1,option c
29278,C2,option c
29278,F2,option d
29278,E2,option c
29278,D1,option b
29278,E1,option c
29278,C2,option c
29278,F2,option d
29278,E2,option c
29015,B2,option c
29015,E1,option c
29015,D2,option d
29015,F2,option a
29015,C2,option c
29015,B2,option c
29015,E1,option c
29015,D2,option d
29015,F2,option d
29015,C2,option c
